Feature,Mean_SHAP_Value
num__db_connections,0.006484410495341945
num__warning_count_1h,0.006263843234641497
num__sensor_spo2_pct,0.00576971909847917
num__k8s_pod_restarts,0.005567429042038059
cat__firmware_version_1.3.2,0.005337398234737101
num__weekday,0.005184741748231043
num__replica_count,0.00515682099144743
cat__protocol_CoAP,0.004228025349120705
num__error_count_1h,0.004216851360624241
num__sensor_soil_moisture_pct,0.0042139066663223704
cat__container_service_stream-processor,0.003906651470111197
cat__namespace_iot,0.003838566267249633
num__mqtt_qos,0.003697261693477125
num__coap_response_code,0.0034921598253141685
num__http_status_code,0.0034560608828702777
cat__auth_method_x509,0.003404796932030232
cat__auth_method_api_key,0.00328848003058638
cat__firmware_version_1.1.0,0.0032096182083810477
cat__firmware_version_1.0.3,0.003094386950548372
cat__k8s_cluster_cluster-05,0.0030873621318995414
num__sensor_ph,0.0027515828440944734
cat__container_service_rules-engine,0.002358823688877644
cat__cloud_provider_Azure,0.002349592340898223
cat__os_type_TinyOS,0.0022714658829453773
num__mqtt_topic_depth,0.0022535723930615964
num__reboot_count_24h,0.0022179525343038755
cat__os_type_Zephyr,0.0021902077397763374
cat__application_context_smart_home,0.002160981324887053
cat__application_context_smart_healthcare,0.001964665213939941
cat__availability_zone_a,0.0019028573208027992
cat__availability_zone_b,0.0017810535323987266
cat__namespace_staging,0.0017378969167563276
cat__k8s_cluster_cluster-04,0.0017190357335117995
cat__application_context_energy_grid,0.0016984432756309575
cat__namespace_prod,0.0016910879572278287
cat__os_type_FreeRTOS,0.0015749627515991135
cat__manufacturer_ApexIoT,0.001552615627593164
cat__k8s_cluster_cluster-03,0.0014991430675834084
cat__firmware_version_1.2.4,0.0014837976012445568
cat__device_type_gps_tracker,0.0014577583952967838
cat__application_context_industrial_iot,0.0014306557393483198
cat__firmware_version_2.1.0,0.0013483790610466157
cat__cloud_region_eu-central-1,0.0013479697171092904
cat__application_context_smart_city,0.0012975167806151746
cat__connectivity_status_degraded,0.0011836192410315091
cat__protocol_LoRaWAN,0.0011650956683339653
num__sensor_heart_rate_bpm,0.0011447322150891714
cat__auth_method_sas_token,0.001053677587117571
cat__cloud_region_ap-southeast-1,0.001046109414609503
cat__k8s_cluster_cluster-09,0.0010408889033525159
cat__model_M-203,0.0010129274255941453
cat__cloud_region_us-east-1,0.0009704442268065072
cat__protocol_Zigbee,0.0009600782412563479
cat__manufacturer_Voltix,0.0009308349493698708
cat__sync_status_synced,0.0009283851168725593
cat__auth_method_oauth2,0.0009249749731828284
cat__container_service_alert-service,0.0009139234634005257
cat__device_type_smart_meter,0.0008756745947334025
cat__container_service_device-registry,0.0008613117619903966
cat__os_type_Embedded Linux,0.0008569769260665223
cat__k8s_cluster_cluster-02,0.0008344858238510895
cat__device_type_battery_monitor,0.0008297513782638171
cat__manufacturer_AgriSense,0.0008286600311873818
cat__manufacturer_CloudEdge,0.0008054897510616843
cat__model_M-407,0.0007778473486715144
cat__application_context_autonomous_vehicle,0.0007364171061850449
cat__k8s_cluster_cluster-10,0.0007189532379388763
cat__device_type_lidar_unit,0.0006721756152613397
cat__k8s_cluster_cluster-11,0.000600432436642537
cat__cloud_provider_AWS,0.0005915448009389756
cat__k8s_cluster_cluster-12,0.0005760309110214768
cat__manufacturer_NexoSense,0.0005736682821507204
cat__cloud_provider_Hybrid,0.000569458005640605
cat__sync_status_delayed,0.0005581572977572319
cat__os_type_RIOT OS,0.0005531617520016663
cat__k8s_cluster_cluster-07,0.0005473687435282005
cat__model_M-575,0.0005409542839537136
cat__device_type_irrigation_controller,0.0005081285490350371
cat__connectivity_status_online,0.0004910579096164538
cat__firmware_version_2.0.1,0.00044762497260199437
cat__cloud_region_us-west-2,0.0004429416561552536
cat__protocol_MQTT,0.0004363896871430089
cat__container_service_mqtt-bridge,0.00040202610313885546
cat__device_type_door_sensor,0.0003969227706787113
cat__protocol_HTTP,0.00038278664533862193
cat__device_type_drone_gateway,0.0003812503420288965
cat__model_M-643,0.0003725388809581505
cat__model_M-951,0.00035246728230078797
num__k8s_pod_ready,0.0003520885637441678
cat__model_M-306,0.0003245600244612333
cat__model_M-641,0.0003235733922753892
cat__device_type_solar_inverter,0.000318387529262108
cat__model_M-278,0.0003130559609709878
cat__model_M-914,0.00031094984686059937
cat__autoscaling_event_scale_out,0.0003014305925139742
cat__model_M-138,0.0002963742856452384
cat__model_M-404,0.0002913390563570089
cat__device_type_street_light,0.0002894562822134929
cat__namespace_security,0.00028542115294848564
cat__cloud_provider_PrivateCloud,0.00028441085350888306
cat__device_type_vehicle_gateway,0.00027651845474413933
cat__manufacturer_MedNode,0.0002728976066972348
cat__model_M-134,0.000265817801558159
cat__namespace_edge,0.00026567857461171133
cat__k8s_cluster_cluster-01,0.0002578194617693271
cat__model_M-816,0.00024394117554756584
cat__model_M-158,0.00024335665430065377
cat__model_M-856,0.00023984643985187174
cat__model_M-874,0.000233899863110105
cat__model_M-783,0.00023345136813405045
cat__model_M-879,0.00023275611122844256
cat__application_context_smart_agriculture,0.00023243142628335905
cat__model_M-340,0.00023159731792542578
cat__model_M-720,0.00022559396349855376
cat__container_service_ingestion-api,0.0002176924987577471
cat__autoscaling_event_none,0.00021735413719015448
cat__model_M-902,0.00021729260599174738
cat__model_M-949,0.00021382860353780385
cat__connectivity_status_offline,0.00021286152978942783
cat__model_M-457,0.00021017594594889343
cat__device_type_thermostat,0.00020919325920946147
cat__model_M-817,0.00020645568825263558
cat__model_M-316,0.00019714312608505553
cat__model_M-318,0.00019433592668822433
cat__model_M-675,0.00019076643573388873
cat__model_M-790,0.00019003067026562512
cat__model_M-205,0.00018111434740848977
cat__model_M-589,0.00018091038124161909
cat__model_M-520,0.0001789482576654756
cat__model_M-154,0.0001783545147213666
cat__model_M-394,0.0001775679192558331
cat__model_M-270,0.00017498953587785716
cat__model_M-383,0.00016392906495437683
cat__k8s_cluster_cluster-06,0.0001620659714664317
cat__autoscaling_event_scale_in,0.00016101263045017428
cat__model_M-353,0.0001606929219116515
cat__device_type_plc_controller,0.00015931459618888914
cat__model_M-112,0.00015539611522729255
cat__model_M-151,0.00014969379798835403
cat__device_type_bedside_sensor,0.0001461752769799364
cat__cloud_provider_GCP,0.00014200920691348373
cat__model_M-672,0.00014133706562414656
cat__model_M-986,0.0001393520303697986
cat__model_M-730,0.0001372189112962736
cat__device_type_robot_arm,0.0001366145834051199
cat__model_M-673,0.00013414955431220485
cat__model_M-813,0.0001331840939242376
cat__model_M-660,0.00013146925723503687
cat__model_M-624,0.0001302626021117269
cat__model_M-390,0.00013007238946991767
cat__model_M-823,0.0001262729948542296
cat__model_M-307,0.0001245259326314153
cat__model_M-144,0.00012234365252630848
cat__model_M-638,0.00011926024063276973
cat__model_M-326,0.00011588514239919352
cat__model_M-403,0.0001152588944642721
cat__k8s_cluster_cluster-08,0.00011451291637300426
cat__model_M-801,0.00011447717182344335
cat__model_M-458,0.0001138661065878012
cat__model_M-380,0.00011372301565650496
cat__model_M-415,0.00011336438370612961
cat__model_M-680,0.00011310323933395816
cat__model_M-842,0.00011273091525303372
cat__model_M-918,0.00011008639937201151
cat__model_M-402,0.00010520839606282766
cat__model_M-746,0.00010381726395789748
cat__model_M-129,0.00010359222106865221
cat__model_M-913,0.00010359048700665635
cat__device_type_camera,0.00010069262307520211
cat__model_M-201,9.866100789609996e-05
cat__model_M-937,9.844980989603434e-05
cat__availability_zone_c,9.81380688565548e-05
cat__sync_status_failed,9.709881821443387e-05
cat__model_M-274,9.64745089776004e-05
cat__model_M-960,9.571369774651863e-05
cat__model_M-488,9.510667457407995e-05
cat__model_M-430,9.201549182937182e-05
cat__model_M-664,9.194068620770634e-05
cat__model_M-292,9.172034112394491e-05
cat__model_M-603,8.964696628431306e-05
cat__model_M-737,8.821530800102893e-05
cat__model_M-145,8.766906776816298e-05
cat__model_M-778,8.530103948669698e-05
cat__model_M-791,8.472316199168091e-05
cat__model_M-657,8.425281583516716e-05
cat__model_M-106,8.36322794453178e-05
cat__model_M-300,8.304345340298345e-05
cat__model_M-352,8.210924353518519e-05
cat__model_M-865,7.793077876635944e-05
cat__device_type_wearable_monitor,7.614871861159654e-05
cat__model_M-681,7.572024814368632e-05
cat__model_M-855,6.938005126104649e-05
cat__device_type_emergency_button,6.937410135926208e-05
cat__protocol_BLE,6.839605923929565e-05
cat__model_M-998,6.822120694150816e-05
cat__model_M-267,6.719727228011867e-05
cat__model_M-236,6.634736383883537e-05
cat__model_M-135,6.628936513865097e-05
cat__model_M-867,6.579595932213238e-05
cat__model_M-256,6.504121726344804e-05
cat__model_M-164,6.424157504552576e-05
cat__model_M-217,6.420418287673788e-05
cat__model_M-891,6.232591739217266e-05
cat__device_type_traffic_camera,6.107892371471216e-05
cat__model_M-878,6.077979554681137e-05
cat__model_M-851,5.99276321650745e-05
cat__model_M-929,5.946778555470569e-05
cat__device_type_medicine_fridge,5.927868839920332e-05
cat__model_M-850,5.8503644203098775e-05
cat__model_M-266,5.622480391115701e-05
cat__model_M-631,5.6167064087278744e-05
cat__model_M-259,5.60201725130598e-05
cat__model_M-167,5.406930117862645e-05
cat__model_M-255,5.317097054683076e-05
cat__model_M-412,5.214919679404667e-05
cat__model_M-330,5.062062305804997e-05
cat__model_M-211,5.0555321962353526e-05
cat__device_type_air_quality_node,4.997938272915252e-05
cat__model_M-379,4.928649485034624e-05
cat__model_M-531,4.892201631846367e-05
cat__device_type_weather_station,4.8085251777130006e-05
cat__device_type_parking_sensor,4.6390344649384046e-05
cat__model_M-459,4.58703729666058e-05
cat__model_M-385,4.577992326155528e-05
cat__model_M-727,4.569890106188025e-05
cat__model_M-900,4.545582195564336e-05
cat__model_M-369,4.476016567431815e-05
cat__model_M-688,4.465553631459019e-05
cat__model_M-335,4.4007108207122184e-05
cat__model_M-814,4.2118234467347887e-05
cat__model_M-742,4.179169150019765e-05
cat__model_M-558,3.823225494733649e-05
cat__model_M-311,3.805680474238219e-05
cat__device_type_transformer_sensor,3.772993793589987e-05
cat__model_M-794,3.7491423640839806e-05
cat__model_M-289,3.636632253132472e-05
cat__protocol_NB-IoT,3.623760722263194e-05
cat__model_M-593,3.606773482636145e-05
cat__model_M-257,3.582373425022058e-05
cat__model_M-971,3.513612483087818e-05
cat__model_M-244,3.5049268433850176e-05
cat__model_M-207,3.467073110779425e-05
cat__model_M-601,3.418644408740444e-05
cat__model_M-437,3.3657688857189816e-05
cat__model_M-966,3.330980972562098e-05
cat__model_M-400,3.291736889656041e-05
cat__model_M-495,3.279199442885204e-05
cat__model_M-355,3.254010007443268e-05
cat__model_M-541,3.14256857631343e-05
cat__model_M-281,3.128530648926169e-05
cat__model_M-181,3.114927482566962e-05
cat__model_M-976,3.1025219240323225e-05
cat__model_M-179,2.9552001147282835e-05
cat__model_M-894,2.9533690123108864e-05
cat__model_M-542,2.872039955255882e-05
cat__model_M-485,2.798038701714895e-05
cat__model_M-366,2.6371938339733634e-05
cat__model_M-704,2.6237070814918138e-05
cat__model_M-942,2.612941677354354e-05
cat__model_M-781,2.5581491838675603e-05
cat__model_M-351,2.5193902570448838e-05
cat__model_M-348,2.495558103024945e-05
cat__device_type_cnc_machine,2.4633634376425667e-05
cat__model_M-168,2.4250129040399378e-05
cat__model_M-312,2.3982045833023336e-05
cat__model_M-276,2.3955717515457053e-05
cat__model_M-978,2.38500960644359e-05
cat__model_M-779,2.33733615150835e-05
cat__device_type_soil_sensor,2.280081715800372e-05
cat__model_M-893,2.2599209283151293e-05
cat__model_M-378,2.2235576529715407e-05
cat__model_M-501,2.218710455355857e-05
cat__model_M-828,2.136080308300277e-05
cat__model_M-264,1.999082433212006e-05
cat__model_M-454,1.9824897744794054e-05
cat__model_M-830,1.9687954656194398e-05
cat__model_M-296,1.9455720793726855e-05
cat__model_M-963,1.874889350846067e-05
cat__model_M-655,1.845568949258699e-05
cat__model_M-367,1.84332294061007e-05
cat__model_M-152,1.8287341442542198e-05
cat__model_M-118,1.7967943321658958e-05
cat__model_M-546,1.691794335964828e-05
cat__model_M-713,1.6827744535280816e-05
cat__model_M-136,1.6778456818163003e-05
cat__model_M-847,1.6561478791113852e-05
cat__model_M-280,1.6219590712664945e-05
cat__model_M-110,1.614262472280509e-05
cat__model_M-811,1.4826868628702923e-05
cat__model_M-887,1.299817023210854e-05
cat__model_M-461,1.292461124238014e-05
cat__model_M-617,1.280411043123868e-05
cat__model_M-225,1.2407444578936804e-05
cat__model_M-503,1.2117783382204954e-05
cat__model_M-826,1.2056334088965788e-05
cat__model_M-780,1.1860912445712997e-05
cat__model_M-528,1.1854587020535038e-05
cat__model_M-784,1.1796134872263438e-05
cat__model_M-819,1.1638781800893607e-05
cat__model_M-875,1.1218258480894808e-05
cat__model_M-975,1.114266064020248e-05
cat__model_M-293,1.1061726635406938e-05
cat__model_M-363,1.0329553570570694e-05
cat__model_M-219,1.0286862491997635e-05
cat__model_M-770,1.0269923766703539e-05
cat__model_M-440,1.0170992953774257e-05
cat__model_M-579,9.96436841119012e-06
cat__model_M-103,9.752594202568645e-06
cat__model_M-931,9.217733884293784e-06
cat__model_M-836,8.955259023446136e-06
cat__model_M-191,8.927656409714777e-06
cat__model_M-365,8.922622738973651e-06
cat__model_M-493,8.66923600433026e-06
cat__model_M-596,8.169156398996644e-06
cat__model_M-736,8.019283208476526e-06
cat__model_M-785,7.1349823474201325e-06
cat__model_M-370,7.033230892894935e-06
cat__model_M-427,6.7022008896314225e-06
cat__model_M-227,6.034347062288396e-06
cat__model_M-518,5.946396627008271e-06
cat__model_M-431,5.382675757172755e-06
cat__model_M-647,4.1219660232551295e-06
cat__model_M-120,4.057265351726643e-06
cat__model_M-642,3.863702877379062e-06
cat__model_M-653,3.7101769726842467e-06
cat__model_M-283,3.6063432027234067e-06
cat__model_M-453,3.465746430432181e-06
cat__model_M-734,3.3900961986904525e-06
cat__model_M-654,2.7867283852567703e-06
cat__model_M-950,2.7160670377333945e-06
cat__model_M-792,1.8225785930976594e-06
cat__model_M-327,1.7738723717440612e-06
cat__model_M-872,1.4314731215659586e-06
cat__model_M-449,1.4200431461614423e-06
cat__model_M-170,1.407473401341949e-06
cat__model_M-820,1.405309847392093e-06
cat__model_M-612,1.3417565842109945e-06
cat__model_M-128,1.3390977280364182e-06
cat__model_M-218,1.0672719290436085e-06
cat__model_M-804,1.0320378532282612e-06
cat__model_M-498,9.259374103198791e-07
cat__model_M-533,6.993149529749602e-07
cat__model_M-943,6.436969602521942e-07
cat__model_M-644,5.898730772728841e-07
cat__model_M-796,4.870443024095475e-07
cat__model_M-969,4.629909755878627e-07
cat__model_M-299,4.2211609602466787e-07
cat__model_M-251,3.9137776961828244e-07
cat__model_M-578,3.6721795496488405e-07
cat__model_M-972,2.9108710875911287e-07
cat__model_M-701,2.0746423324267137e-07
cat__model_M-119,1.591195690544803e-07
cat__cloud_region_ap-south-1,8.54073252193233e-08
cat__device_type_vibration_sensor,6.516263817305701e-08
cat__model_M-386,2.4184595359609295e-08
cat__model_M-140,9.257210932101056e-09
cat__model_M-710,7.362663643125865e-09
cat__model_M-759,0.0
cat__model_M-758,0.0
cat__model_M-743,0.0
cat__model_M-744,0.0
cat__model_M-760,0.0
cat__model_M-745,0.0
cat__model_M-757,0.0
cat__model_M-761,0.0
cat__model_M-762,0.0
cat__model_M-756,0.0
cat__model_M-126,0.0
cat__model_M-747,0.0
cat__model_M-754,0.0
cat__model_M-753,0.0
cat__model_M-748,0.0
cat__model_M-752,0.0
cat__model_M-751,0.0
cat__model_M-763,0.0
cat__model_M-749,0.0
cat__model_M-750,0.0
cat__model_M-127,0.0
cat__model_M-755,0.0
cat__model_M-137,0.0
cat__model_M-139,0.0
cat__model_M-782,0.0
cat__model_M-999,0.0
cat__model_M-997,0.0
cat__model_M-147,0.0
cat__model_M-996,0.0
cat__model_M-995,0.0
cat__model_M-130,0.0
cat__model_M-787,0.0
cat__model_M-678,0.0
cat__model_M-677,0.0
cat__model_M-788,0.0
cat__model_M-789,0.0
cat__model_M-994,0.0
cat__model_M-993,0.0
cat__model_M-992,0.0
cat__model_M-786,0.0
cat__device_type_substation_gateway,0.0
cat__model_M-764,0.0
cat__model_M-765,0.0
cat__model_M-766,0.0
cat__model_M-767,0.0
cat__model_M-768,0.0
cat__model_M-125,0.0
cat__model_M-769,0.0
cat__model_M-133,0.0
cat__model_M-771,0.0
cat__model_M-772,0.0
cat__model_M-773,0.0
cat__model_M-774,0.0
cat__model_M-775,0.0
cat__model_M-776,0.0
cat__model_M-777,0.0
cat__model_M-132,0.0
cat__model_M-131,0.0
cat__model_M-698,0.0
cat__model_M-699,0.0
cat__model_M-684,0.0
cat__model_M-700,0.0
cat__model_M-702,0.0
cat__model_M-109,0.0
cat__model_M-703,0.0
cat__model_M-738,0.0
cat__model_M-705,0.0
cat__model_M-706,0.0
cat__model_M-707,0.0
cat__model_M-708,0.0
cat__model_M-113,0.0
cat__model_M-709,0.0
cat__model_M-711,0.0
cat__model_M-712,0.0
cat__model_M-111,0.0
cat__model_M-687,0.0
cat__model_M-104,0.0
cat__model_M-105,0.0
cat__model_M-689,0.0
cat__model_M-690,0.0
cat__model_M-107,0.0
cat__model_M-691,0.0
cat__model_M-697,0.0
cat__model_M-686,0.0
cat__model_M-102,0.0
cat__model_M-692,0.0
cat__model_M-693,0.0
cat__model_M-694,0.0
cat__model_M-695,0.0
cat__model_M-696,0.0
cat__model_M-685,0.0
cat__model_M-108,0.0
cat__model_M-728,0.0
cat__model_M-729,0.0
cat__model_M-731,0.0
cat__model_M-101,0.0
cat__model_M-732,0.0
cat__model_M-733,0.0
cat__model_M-100,0.0
cat__model_M-114,0.0
cat__model_M-121,0.0
cat__model_M-122,0.0
cat__model_M-123,0.0
cat__model_M-124,0.0
cat__model_M-679,0.0
cat__model_M-739,0.0
cat__model_M-740,0.0
cat__model_M-741,0.0
cat__model_M-735,0.0
cat__model_M-714,0.0
cat__model_M-115,0.0
cat__model_M-715,0.0
cat__model_M-716,0.0
cat__model_M-717,0.0
cat__model_M-718,0.0
cat__model_M-719,0.0
cat__model_M-148,0.0
cat__model_M-726,0.0
cat__model_M-683,0.0
cat__model_M-721,0.0
cat__model_M-722,0.0
cat__model_M-723,0.0
cat__model_M-117,0.0
cat__model_M-682,0.0
cat__model_M-724,0.0
cat__model_M-725,0.0
cat__model_M-116,0.0
cat__model_M-880,0.0
cat__model_M-881,0.0
cat__model_M-882,0.0
cat__model_M-883,0.0
cat__model_M-946,0.0
cat__model_M-884,0.0
cat__model_M-885,0.0
cat__model_M-945,0.0
cat__model_M-800,0.0
cat__model_M-944,0.0
cat__model_M-888,0.0
cat__model_M-889,0.0
cat__model_M-890,0.0
cat__model_M-892,0.0
cat__model_M-941,0.0
cat__model_M-940,0.0
cat__model_M-939,0.0
cat__model_M-886,0.0
cat__model_M-863,0.0
cat__model_M-956,0.0
cat__model_M-864,0.0
cat__model_M-955,0.0
cat__model_M-954,0.0
cat__model_M-866,0.0
cat__model_M-953,0.0
cat__model_M-868,0.0
cat__model_M-143,0.0
cat__model_M-870,0.0
cat__model_M-952,0.0
cat__model_M-871,0.0
cat__model_M-141,0.0
cat__model_M-873,0.0
cat__model_M-948,0.0
cat__model_M-876,0.0
cat__model_M-877,0.0
cat__model_M-947,0.0
cat__model_M-869,0.0
cat__model_M-926,0.0
cat__model_M-908,0.0
cat__model_M-909,0.0
cat__model_M-910,0.0
cat__model_M-911,0.0
cat__model_M-912,0.0
cat__model_M-925,0.0
cat__model_M-142,0.0
cat__model_M-938,0.0
cat__model_M-923,0.0
cat__model_M-915,0.0
cat__model_M-922,0.0
cat__model_M-921,0.0
cat__model_M-920,0.0
cat__model_M-916,0.0
cat__model_M-919,0.0
cat__model_M-917,0.0
cat__model_M-924,0.0
cat__model_M-936,0.0
cat__model_M-895,0.0
cat__model_M-896,0.0
cat__model_M-897,0.0
cat__model_M-898,0.0
cat__model_M-935,0.0
cat__model_M-899,0.0
cat__model_M-934,0.0
cat__model_M-927,0.0
cat__model_M-933,0.0
cat__model_M-932,0.0
cat__model_M-903,0.0
cat__model_M-904,0.0
cat__model_M-930,0.0
cat__model_M-905,0.0
cat__model_M-906,0.0
cat__model_M-907,0.0
cat__model_M-928,0.0
cat__model_M-901,0.0
cat__model_M-987,0.0
cat__model_M-985,0.0
cat__model_M-815,0.0
cat__model_M-984,0.0
cat__model_M-146,0.0
cat__model_M-983,0.0
cat__model_M-818,0.0
cat__model_M-982,0.0
cat__model_M-862,0.0
cat__model_M-980,0.0
cat__model_M-821,0.0
cat__model_M-822,0.0
cat__model_M-979,0.0
cat__model_M-824,0.0
cat__model_M-977,0.0
cat__model_M-825,0.0
cat__model_M-974,0.0
cat__model_M-981,0.0
cat__model_M-793,0.0
cat__model_M-991,0.0
cat__model_M-795,0.0
cat__model_M-797,0.0
cat__model_M-798,0.0
cat__model_M-799,0.0
num__month,0.0
cat__model_M-990,0.0
cat__model_M-988,0.0
cat__model_M-803,0.0
cat__model_M-805,0.0
cat__model_M-806,0.0
cat__model_M-807,0.0
cat__model_M-808,0.0
cat__model_M-809,0.0
cat__model_M-810,0.0
cat__model_M-989,0.0
cat__model_M-812,0.0
cat__model_M-802,0.0
cat__model_M-849,0.0
cat__model_M-967,0.0
cat__model_M-965,0.0
cat__model_M-964,0.0
cat__model_M-962,0.0
cat__model_M-961,0.0
cat__model_M-852,0.0
cat__model_M-959,0.0
cat__model_M-827,0.0
cat__model_M-854,0.0
cat__model_M-958,0.0
cat__model_M-957,0.0
cat__model_M-857,0.0
cat__model_M-858,0.0
cat__model_M-859,0.0
cat__model_M-860,0.0
cat__model_M-861,0.0
cat__model_M-853,0.0
cat__model_M-973,0.0
cat__model_M-829,0.0
cat__model_M-831,0.0
cat__model_M-832,0.0
cat__model_M-833,0.0
cat__model_M-834,0.0
cat__model_M-835,0.0
cat__model_M-970,0.0
cat__model_M-848,0.0
cat__model_M-838,0.0
cat__model_M-839,0.0
cat__model_M-840,0.0
cat__model_M-841,0.0
cat__model_M-843,0.0
cat__model_M-844,0.0
cat__model_M-845,0.0
cat__model_M-846,0.0
cat__model_M-968,0.0
cat__model_M-837,0.0
cat__model_M-325,0.0
cat__model_M-328,0.0
cat__model_M-329,0.0
cat__model_M-331,0.0
cat__model_M-332,0.0
cat__model_M-333,0.0
cat__model_M-334,0.0
cat__model_M-336,0.0
cat__model_M-337,0.0
cat__model_M-338,0.0
cat__model_M-339,0.0
cat__model_M-613,0.0
cat__model_M-342,0.0
cat__model_M-343,0.0
cat__model_M-344,0.0
cat__model_M-345,0.0
cat__model_M-346,0.0
cat__model_M-347,0.0
cat__model_M-349,0.0
cat__model_M-350,0.0
cat__model_M-354,0.0
cat__model_M-356,0.0
cat__model_M-357,0.0
cat__model_M-341,0.0
cat__model_M-290,0.0
cat__model_M-291,0.0
cat__model_M-294,0.0
cat__model_M-295,0.0
cat__model_M-297,0.0
cat__model_M-298,0.0
cat__model_M-301,0.0
cat__model_M-302,0.0
cat__model_M-303,0.0
cat__model_M-304,0.0
cat__model_M-305,0.0
cat__model_M-324,0.0
cat__model_M-308,0.0
cat__model_M-309,0.0
cat__model_M-310,0.0
cat__model_M-313,0.0
cat__model_M-314,0.0
cat__model_M-315,0.0
cat__model_M-317,0.0
cat__model_M-319,0.0
cat__model_M-320,0.0
cat__model_M-321,0.0
cat__model_M-322,0.0
cat__model_M-323,0.0
cat__model_M-155,0.0
cat__model_M-398,0.0
cat__model_M-399,0.0
cat__model_M-401,0.0
cat__model_M-153,0.0
cat__model_M-405,0.0
cat__model_M-406,0.0
cat__model_M-408,0.0
cat__model_M-409,0.0
cat__model_M-410,0.0
cat__model_M-411,0.0
cat__model_M-413,0.0
cat__model_M-358,0.0
cat__model_M-416,0.0
cat__model_M-417,0.0
cat__model_M-418,0.0
cat__model_M-419,0.0
cat__model_M-420,0.0
cat__model_M-421,0.0
cat__model_M-422,0.0
cat__model_M-423,0.0
cat__model_M-424,0.0
cat__model_M-425,0.0
cat__model_M-426,0.0
cat__model_M-414,0.0
cat__model_M-359,0.0
cat__model_M-360,0.0
cat__model_M-361,0.0
cat__model_M-362,0.0
cat__model_M-364,0.0
cat__model_M-368,0.0
cat__model_M-371,0.0
cat__model_M-372,0.0
cat__model_M-373,0.0
cat__model_M-374,0.0
cat__model_M-375,0.0
cat__model_M-397,0.0
cat__model_M-377,0.0
cat__model_M-381,0.0
cat__model_M-382,0.0
cat__model_M-384,0.0
cat__model_M-387,0.0
cat__model_M-388,0.0
cat__model_M-389,0.0
cat__model_M-391,0.0
cat__model_M-392,0.0
cat__model_M-393,0.0
cat__model_M-395,0.0
cat__model_M-396,0.0
cat__model_M-376,0.0
cat__model_M-190,0.0
cat__model_M-192,0.0
cat__model_M-193,0.0
cat__model_M-194,0.0
cat__model_M-195,0.0
cat__model_M-196,0.0
cat__model_M-197,0.0
cat__model_M-198,0.0
